# X, weights
-9.820961084357184845e-01 4.604584256702955007e-03
-9.771984914639073594e-01 5.190161832676330224e-03
-9.717168187471365570e-01 5.772637542865698308e-03
-9.656543664319652276e-01 6.351663161707188886e-03
-9.590147578536999395e-01 6.926892566898813948e-03
-9.518019613412643798e-01 7.497981925634728505e-03
-9.440202878302201839e-01 8.064589890486058635e-03
-9.356743882779163801e-01 8.626377798616750164e-03
-9.267692508789477923e-01 9.183009871660874346e-03
-9.173101980809604816e-01 9.734153415006805560e-03
-9.073028834017567990e-01 1.027947901583215785e-02
-8.967532880491582148e-01 1.081866073950307587e-02
-8.856677173453971763e-01 1.135137632408041684e-02
-8.740527969580318413e-01 1.187730737274027976e-02
-8.619154689395485125e-01 1.239613954395092296e-02
-8.492629875779689197e-01 1.290756273926734789e-02
-8.361029150609068372e-01 1.341127128861633287e-02
-8.224431169556438714e-01 1.390696413295198532e-02
-8.082917575079137107e-01 1.439434500416684679e-02
-7.936572947621932661e-01 1.487312260214731369e-02
-7.785484755064119300e-01 1.534301076886514410e-02
-7.629743300440947618e-01 1.580372865939934715e-02
-7.469441667970619925e-01 1.625500090978518677e-02
-7.304675667419088247e-01 1.669655780158920549e-02
-7.135543776835874263e-01 1.712813542311137846e-02
-6.962147083695143790e-01 1.754947582711770607e-02
-6.784589224477192149e-01 1.796032718500868708e-02
-6.602976322726460401e-01 1.836044393733134161e-02
-6.417416925623075086e-01 1.874958694054471020e-02
-6.228021939105848892e-01 1.912752360995094436e-02
-6.034904561585485716e-01 1.949402805870660213e-02
-5.838180216287630619e-01 1.984888123283086100e-02
-5.637966482266181245e-01 2.019187104213004263e-02
-5.434383024128103257e-01 2.052279248696007100e-02
-5.227551520511755090e-01 2.084144778075115029e-02
-5.017595591361444507e-01 2.114764646822134969e-02
-4.804640724041720490e-01 2.144120553920846051e-02
-4.588814198335521843e-01 2.172194953805207593e-02
-4.370245010371041627e-01 2.198971066846049094e-02
-4.149063795522749953e-01 2.224432889379976408e-02
-3.925402750332674384e-01 2.248565203274496827e-02
-3.699395553498590061e-01 2.271353585023646107e-02
-3.471177285976355109e-01 2.292784414368684645e-02
-3.240884350244133683e-01 2.312844882438702676e-02
-3.008654388776771937e-01 2.331522999406275901e-02
-2.774626201779044066e-01 2.348807601653591162e-02
-2.538939664226942949e-01 2.364688358444761579e-02
-2.301735642266599935e-01 2.379155778100340221e-02
-2.063155909020792100e-01 2.392201213670345702e-02
-1.823343059853371750e-01 2.403816868102405177e-02
-1.582440427142249306e-01 2.413995798901928669e-02
-1.340591994611877724e-01 2.422731922281524952e-02
-1.097942311276437488e-01 2.430020016797186655e-02
-8.546364050451549232e-02 2.435855726469062649e-02
-6.108196960413957155e-02 2.440235563384958103e-02
-3.666379096873349092e-02 2.443156909785004424e-02
-1.222369896061576387e-02 2.444618019626251804e-02
